p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
aaronconnolly,2019,13,161,1312,24,28,2148,41,28-01-2000,175.3333333,75.66666667,Republic of Ireland,Medium/Low,72.33333333,58,63,Forward,19,0,0,0,0,0,24.61362749,2.5,2,0,0,0
aaronconnolly,2020,71,161,836,17,28,2148,41,28-01-2000,175.3333333,75.66666667,Republic of Ireland,Medium/Low,72.33333333,58,63,Forward,20,1312,24,54.66666667,13,24,24.61362749,2.5,2,0,161,13
aaroncresswell,2016,95,226,2247,26,27,13368,149,15-12-1989,171.6666667,66,England,High/Medium,74.33333333,67,75.33333333,Defender,27,0,0,0,0,0,22.3960788,3.5,1,0,0,0
aaroncresswell,2018,87,226,1680,20,27,13368,149,15-12-1989,171.6666667,66,England,High/Medium,74.33333333,67,75.33333333,Defender,29,2247,26,86.42307692,95,26,22.3960788,3.5,1,0,226,95
aaroncresswell,2019,35,226,2870,31,31,13368,149,15-12-1989,171.6666667,66,England,High/Medium,74.33333333,67,75.33333333,Defender,30,3927,46,85.36956522,91,23,22.3960788,3.5,1,0,452,87
aaroncresswell,2020,9,226,3342,36,36,13368,149,15-12-1989,171.6666667,66,England,High/Medium,74.33333333,67,75.33333333,Defender,31,6797,77,88.27272727,72.33333333,25.66666667,22.3960788,3.5,1,0,678,35
aaronlennon,2017,33,199,1996,29,29,4371,72,16-04-1987,165,63,England,High/High,81.8,59.2,75.8,Midfielder,30,0,0,0,0,0,23.14049587,4,3,0,0,0
aaronlennon,2018,166,199,1279,16,16,4371,72,16-04-1987,165,63,England,High/High,81.8,59.2,75.8,Midfielder,31,1996,29,68.82758621,33,29,23.14049587,4,3,0,199,33
aaronmooy,2017,26,130,3226,36,36,7942,96,15-09-1990,173.8333333,72.83333333,Australia,Medium/Medium,65.66666667,73.5,75.83333333,Midfielder,27,0,0,0,0,0,24.10260983,3,3,0,0,0
aaronmooy,2018,89,130,2467,29,29,7942,96,15-09-1990,173.8333333,72.83333333,Australia,Medium/Medium,65.66666667,73.5,75.83333333,Midfielder,28,3226,36,89.61111111,26,36,24.10260983,3,3,0,130,26
aaronmooy,2019,15,130,2249,31,36,7942,96,15-09-1990,173.8333333,72.83333333,Australia,Medium/Medium,65.66666667,73.5,75.83333333,Midfielder,29,5693,65,87.58461538,57.5,32.5,24.10260983,3,3,0,260,89
aaronramsdale,2019,11,11,3515,37,37,7125,75,14-05-1998,188,77,England,Medium/Medium,0,0,65,Goalkeeper,21,0,0,0,0,0,21.78587596,3,0,0,0,0
aaronramsey,2016,122,436,1329,23,24,4692,75,26-12-1990,181,74,Wales,High/High,68.16666667,74.66666667,82.5,Midfielder,26,0,0,0,0,0,22.58783309,4,3,0,0,0
aaronramsey,2016,122,436,1329,23,24,4692,75,26-12-1990,181,74,Wales,High/High,68.16666667,74.66666667,82.5,Midfielder,26,1329,23,57.7826087,122,23,22.58783309,4,3,1,436,122
aaronramsey,2017,44,436,1945,24,24,4692,75,26-12-1990,181,74,Wales,High/High,68.16666667,74.66666667,82.5,Midfielder,27,2658,46,57.7826087,122,23,22.58783309,4,3,1,872,122
aaronramsey,2017,44,436,1945,24,24,4692,75,26-12-1990,181,74,Wales,High/High,68.16666667,74.66666667,82.5,Midfielder,27,4603,70,65.75714286,96,23.33333333,22.58783309,4,3,0,1308,44
aaronramsey,2018,157,436,1418,28,31,4692,75,26-12-1990,181,74,Wales,High/High,68.16666667,74.66666667,82.5,Midfielder,28,6548,94,69.65957447,83,23.5,22.58783309,4,3,0,1744,44
aaronramsey,2018,157,436,1418,28,31,4692,75,26-12-1990,181,74,Wales,High/High,68.16666667,74.66666667,82.5,Midfielder,28,7966,122,65.29508197,97.8,24.4,22.58783309,4,3,1,2180,157
abdelhamidsabiri,2018,95,178,48,2,2,282,7,28-11-1996,186,80,Germany,Medium/Medium,70.75,64,65,Midfielder,22,0,0,0,0,0,23.12406059,3,3,0,0,0
aboubakarkamara,2018,42,124,745,13,17,1102,24,07-03-1995,177,78.5,France,High/Medium,75.83333333,67.33333333,67.33333333,Forward,23,0,0,0,0,0,25.05665677,3.5,2,0,0,0
adamfederici,2016,157,365,190,2,22,190,2,31-01-1985,188,90,Australia,Medium/Medium,0,0,72,Goalkeeper,31,0,0,0,0,0,25.46401086,3,0,0,0,0
adamidah,2019,28,194,273,12,17,273,12,11-02-2001,190,83,Republic of Ireland,High/Medium,74.5,63,64,Forward,18,0,0,0,0,0,22.99168975,3.5,2,0,0,0
adamlallana,2016,63,413,2425,31,31,5339,101,10-05-1988,175,73,England,High/High,70.5,68.83333333,80.16666667,Midfielder,28,0,0,0,0,0,23.83673469,4,3,0,0,0
adamlallana,2017,160,413,285,12,14,5339,101,10-05-1988,175,73,England,High/High,70.5,68.83333333,80.16666667,Midfielder,29,2425,31,78.22580645,63,31,23.83673469,4,3,0,413,63
adamlallana,2018,142,413,505,13,24,5339,101,10-05-1988,175,73,England,High/High,70.5,68.83333333,80.16666667,Midfielder,30,2710,43,63.02325581,111.5,21.5,23.83673469,4,3,1,826,160
adamlallana,2020,48,413,1693,30,31,5339,101,10-05-1988,175,73,England,High/High,70.5,68.83333333,80.16666667,Midfielder,32,3215,56,57.41071429,121.6666667,18.66666667,23.83673469,4,3,1,1239,142
adamsmith,2017,49,270,2194,27,28,9828,112,29-04-1991,180,79,England,High/Medium,74,67.83333333,73.33333333,Defender,26,0,0,0,0,0,24.38271605,3.5,1,0,0,0
adamsmith,2017,49,270,2194,27,28,9828,112,29-04-1991,180,79,England,High/Medium,74,67.83333333,73.33333333,Goalkeeper,26,2194,27,81.25925926,49,27,24.38271605,3.5,0,0,270,49
adamsmith,2017,49,270,2194,27,28,9828,112,23-11-1992,186.4,70,England,Medium/Medium,0,0,62.6,Defender,25,4388,54,81.25925926,49,27,20.1468069,3,1,0,540,49
adamsmith,2017,49,270,2194,27,28,9828,112,23-11-1992,186.4,70,England,Medium/Medium,0,0,62.6,Goalkeeper,25,6582,81,81.25925926,49,27,20.1468069,3,0,0,810,49
adamsmith,2018,107,270,2200,25,25,9828,112,29-04-1991,180,79,England,High/Medium,74,67.83333333,73.33333333,Defender,27,8776,108,81.25925926,49,27,24.38271605,3.5,1,0,1080,49
adamsmith,2018,107,270,2200,25,25,9828,112,29-04-1991,180,79,England,High/Medium,74,67.83333333,73.33333333,Goalkeeper,27,10976,133,82.52631579,60.6,26.6,24.38271605,3.5,0,0,1350,107
adamsmith,2018,107,270,2200,25,25,9828,112,23-11-1992,186.4,70,England,Medium/Medium,0,0,62.6,Defender,26,13176,158,83.39240506,68.33333333,26.33333333,20.1468069,3,1,0,1620,107
adamsmith,2018,107,270,2200,25,25,9828,112,23-11-1992,186.4,70,England,Medium/Medium,0,0,62.6,Goalkeeper,26,15376,183,84.02185792,73.85714286,26.14285714,20.1468069,3,0,0,1890,107
adamsmith,2019,93,270,2155,24,24,9828,112,29-04-1991,180,79,England,High/Medium,74,67.83333333,73.33333333,Defender,28,17576,208,84.5,78,26,24.38271605,3.5,1,0,2160,107
adamsmith,2019,93,270,2155,24,24,9828,112,29-04-1991,180,79,England,High/Medium,74,67.83333333,73.33333333,Goalkeeper,28,19731,232,85.04741379,79.66666667,25.77777778,24.38271605,3.5,0,0,2430,93
adamsmith,2019,93,270,2155,24,24,9828,112,23-11-1992,186.4,70,England,Medium/Medium,0,0,62.6,Defender,27,21886,256,85.4921875,81,25.6,20.1468069,3,1,0,2700,93
adamsmith,2019,93,270,2155,24,24,9828,112,23-11-1992,186.4,70,England,Medium/Medium,0,0,62.6,Goalkeeper,27,24041,280,85.86071429,82.09090909,25.45454545,20.1468069,3,0,0,2970,93
adamwebster,2019,31,489,2815,31,36,5550,60,04-01-1995,190,75,England,Medium/Medium,66,70.83333333,70,Defender,24,0,0,0,0,0,20.77562327,3,1,0,0,0
adamwebster,2020,16,489,2735,29,31,5550,60,04-01-1995,190,75,England,Medium/Medium,66,70.83333333,70,Defender,25,2815,31,90.80645161,31,31,20.77562327,3,1,0,489,31
ademolalookman,2018,78,105,701,21,30,4069,70,20-10-1997,174,76.6,England,High/Medium,82.6,58.8,69.4,Forward,21,0,0,0,0,0,25.30056811,3.5,2,0,0,0
ademolalookman,2020,8,105,2872,34,34,4069,70,20-10-1997,174,76.6,England,High/Medium,82.6,58.8,69.4,Forward,23,701,21,33.38095238,78,21,25.30056811,3.5,2,0,105,78
adnanjanuzaj,2016,42,272,1715,25,31,1715,25,05-02-1995,184,75.5,Belgium,Medium/Low,78.66666667,54.16666667,77.5,Midfielder,21,0,0,0,0,0,22.30033081,2.5,3,0,0,0
adrianmariappa,2016,52,52,596,7,17,6575,81,03-10-1986,179.2,79.4,Jamaica,Medium/Medium,64.8,71.4,72.8,Defender,30,0,0,0,0,0,24.72546636,3,1,0,0,0
ahmedelmohamady,2020,54,60,856,14,38,4703,65,09-09-1987,182.3333333,78,Egypt,High/Medium,74.5,72.16666667,72.33333333,Defender,33,0,0,0,0,0,23.46186111,3.5,1,0,0,0
albianajeti,2019,16,32,175,9,28,175,9,26-02-1997,183,77.33333333,Switzerland,High/Medium,76.83333333,68.83333333,69,Forward,22,0,0,0,0,0,23.09215961,3.5,2,0,0,0
