match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,metadata,match_week,competition_stage,stadium,referee
18245,2018-05-26,20:45:00.000,"{'competition_id': 16, 'country_name': 'Europe', 'competition_name': 'Champions League'}","{'season_id': 1, 'season_name': '2017/2018'}","{'home_team_id': 220, 'home_team_name': 'Real Madrid', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 214, 'name': 'Spain'}, 'managers': [{'id': 56, 'name': 'Zinédine Zidane', 'nickname': None, 'dob': '1972-06-23', 'country': {'id': 78, 'name': 'France'}}]}","{'away_team_id': 24, 'away_team_name': 'Liverpool', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 94, 'name': 'Jürgen Klopp', 'nickname': None, 'dob': '1967-06-16', 'country': {'id': 85, 'name': 'Germany'}}]}",3,1,available,scheduled,2021-01-23T21:55:30.425330,2021-06-13T16:17:31.694,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",7,"{'id': 26, 'name': 'Final'}","{'id': 4222, 'name': 'NSK Olimpiyskyi', 'country': {'id': 238, 'name': 'Ukraine'}}","{'id': 727, 'name': 'Milorad Mažić', 'country': {'id': 203, 'name': 'Serbia'}}"
3857256,2022-12-02,21:00:00.000,"{'competition_id': 43, 'country_name': 'International', 'competition_name': 'FIFA World Cup'}","{'season_id': 106, 'season_name': '2022'}","{'home_team_id': 786, 'home_team_name': 'Serbia', 'home_team_gender': 'male', 'home_team_group': 'G', 'country': {'id': 203, 'name': 'Serbia'}, 'managers': [{'id': 5908, 'name': 'Dragan Stojković', 'nickname': None, 'dob': '1965-03-03', 'country': {'id': 203, 'name': 'Serbia'}}]}","{'away_team_id': 773, 'away_team_name': 'Switzerland', 'away_team_gender': 'male', 'away_team_group': 'G', 'country': {'id': 221, 'name': 'Switzerland'}, 'managers': [{'id': 2832, 'name': 'Murat Yakin', 'nickname': None, 'dob': '1974-09-15', 'country': {'id': 221, 'name': 'Switzerland'}}]}",2,3,available,available,2023-02-17T23:45:15.306706,2023-04-26T23:49:58.956186,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",3,"{'id': 10, 'name': 'Group Stage'}","{'id': 1001115, 'name': 'Stadium 974', 'country': {'id': 185, 'name': 'Qatar'}}","{'id': 1121, 'name': 'Fernando Andrés Rapallini', 'country': {'id': 11, 'name': 'Argentina'}}"
3869151,2022-12-03,21:00:00.000,"{'competition_id': 43, 'country_name': 'International', 'competition_name': 'FIFA World Cup'}","{'season_id': 106, 'season_name': '2022'}","{'home_team_id': 779, 'home_team_name': 'Argentina', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 11, 'name': 'Argentina'}, 'managers': [{'id': 5677, 'name': 'Lionel Sebastián Scaloni', 'nickname': None, 'dob': '1978-05-16', 'country': {'id': 11, 'name': 'Argentina'}}]}","{'away_team_id': 792, 'away_team_name': 'Australia', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 14, 'name': 'Australia'}, 'managers': [{'id': 5696, 'name': 'Graham James Arnold', 'nickname': None, 'dob': '1963-08-03', 'country': {'id': 14, 'name': 'Australia'}}]}",2,1,available,available,2023-07-30T07:46:05.382784,2023-07-30T07:48:51.865595,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",4,"{'id': 33, 'name': 'Round of 16'}","{'id': 1000793, 'name': 'Ahmad bin Ali Stadium', 'country': {'id': 185, 'name': 'Qatar'}}","{'id': 367, 'name': 'Szymon Marciniak', 'country': {'id': 182, 'name': 'Poland'}}"
3857257,2022-11-30,17:00:00.000,"{'competition_id': 43, 'country_name': 'International', 'competition_name': 'FIFA World Cup'}","{'season_id': 106, 'season_name': '2022'}","{'home_team_id': 792, 'home_team_name': 'Australia', 'home_team_gender': 'male', 'home_team_group': 'D', 'country': {'id': 14, 'name': 'Australia'}, 'managers': [{'id': 5696, 'name': 'Graham James Arnold', 'nickname': None, 'dob': '1963-08-03', 'country': {'id': 14, 'name': 'Australia'}}]}","{'away_team_id': 776, 'away_team_name': 'Denmark', 'away_team_gender': 'male', 'away_team_group': 'D', 'country': {'id': 61, 'name': 'Denmark'}, 'managers': [{'id': 255, 'name': 'Kasper Hjulmand', 'nickname': None, 'dob': '1972-04-09', 'country': {'id': 61, 'name': 'Denmark'}}]}",1,0,available,available,2023-04-28T17:13:10.958725,2023-06-20T11:04:37.638969,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",3,"{'id': 10, 'name': 'Group Stage'}","{'id': 117897, 'name': 'Al Janoub Stadium   ', 'country': {'id': 185, 'name': 'Qatar'}}","{'id': 2311, 'name': 'Mustapha Ghorbal', 'country': {'id': 4, 'name': 'Algeria'}}"
3857258,2022-11-24,21:00:00.000,"{'competition_id': 43, 'country_name': 'International', 'competition_name': 'FIFA World Cup'}","{'season_id': 106, 'season_name': '2022'}","{'home_team_id': 781, 'home_team_name': 'Brazil', 'home_team_gender': 'male', 'home_team_group': 'G', 'country': {'id': 31, 'name': 'Brazil'}, 'managers': [{'id': 4704, 'name': 'Telê Santana da Silva', 'nickname': 'Telê Santana', 'dob': '1931-07-26', 'country': {'id': 31, 'name': 'Brazil'}}]}","{'away_team_id': 786, 'away_team_name': 'Serbia', 'away_team_gender': 'male', 'away_team_group': 'G', 'country': {'id': 203, 'name': 'Serbia'}, 'managers': [{'id': 5908, 'name': 'Dragan Stojković', 'nickname': None, 'dob': '1965-03-03', 'country': {'id': 203, 'name': 'Serbia'}}]}",2,0,available,available,2023-06-24T17:17:27.911026,2023-07-11T14:56:31.096588,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",1,"{'id': 10, 'name': 'Group Stage'}","{'id': 1001114, 'name': 'Lusail Stadium', 'country': {'id': 185, 'name': 'Qatar'}}","{'id': 741, 'name': 'Alireza Faghani', 'country': {'id': 107, 'name': 'Iran, Islamic Republic of'}}"
3857288,2022-11-26,12:00:00.000,"{'competition_id': 43, 'country_name': 'International', 'competition_name': 'FIFA World Cup'}","{'season_id': 106, 'season_name': '2022'}","{'home_team_id': 777, 'home_team_name': 'Tunisia', 'home_team_gender': 'male', 'home_team_group': 'D', 'country': {'id': 232, 'name': 'Tunisia'}, 'managers': [{'id': 1001303, 'name': 'Jalel Kadri', 'nickname': None, 'dob': None, 'country': {'id': 232, 'name': 'Tunisia'}}]}","{'away_team_id': 792, 'away_team_name': 'Australia', 'away_team_gender': 'male', 'away_team_group': 'D', 'country': {'id': 14, 'name': 'Australia'}, 'managers': [{'id': 5696, 'name': 'Graham James Arnold', 'nickname': None, 'dob': '1963-08-03', 'country': {'id': 14, 'name': 'Australia'}}]}",0,1,available,available,2023-02-28T21:25:20.888552,2023-04-27T00:30:07.835815,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",2,"{'id': 10, 'name': 'Group Stage'}","{'id': 117897, 'name': 'Al Janoub Stadium   ', 'country': {'id': 185, 'name': 'Qatar'}}","{'id': 225, 'name': 'Daniel Siebert', 'country': {'id': 85, 'name': 'Germany'}}"
3857267,2022-11-29,17:00:00.000,"{'competition_id': 43, 'country_name': 'International', 'competition_name': 'FIFA World Cup'}","{'season_id': 106, 'season_name': '2022'}","{'home_team_id': 3565, 'home_team_name': 'Ecuador', 'home_team_gender': 'male', 'home_team_group': 'A', 'country': {'id': 65, 'name': 'Ecuador'}, 'managers': [{'id': 2881, 'name': 'Gustavo Julio Alfaro', 'nickname': 'Gustavo Alfaro', 'dob': '1962-08-14', 'country': {'id': 11, 'name': 'Argentina'}}]}","{'away_team_id': 787, 'away_team_name': 'Senegal', 'away_team_gender': 'male', 'away_team_group': 'A', 'country': {'id': 202, 'name': 'Senegal'}, 'managers': [{'id': 635, 'name': 'Aliou Cissé', 'nickname': None, 'dob': '1976-03-24', 'country': {'id': 202, 'name': 'Senegal'}}]}",1,2,available,available,2023-03-11T17:17:56.123509,2023-05-19T13:52:07.885530,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",3,"{'id': 10, 'name': 'Group Stage'}","{'id': 1000253, 'name': 'Sheikh Khalifa International Stadium', 'country': {'id': 185, 'name': 'Qatar'}}","{'id': 76, 'name': 'Clément Turpin', 'country': {'id': 78, 'name': 'France'}}"
3869321,2022-12-09,21:00:00.000,"{'competition_id': 43, 'country_name': 'International', 'competition_name': 'FIFA World Cup'}","{'season_id': 106, 'season_name': '2022'}","{'home_team_id': 941, 'home_team_name': 'Netherlands', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 160, 'name': 'Netherlands'}, 'managers': [{'id': 788, 'name': 'Louis van Gaal', 'nickname': None, 'dob': '1951-08-08', 'country': {'id': 160, 'name': 'Netherlands'}}]}","{'away_team_id': 779, 'away_team_name': 'Argentina', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 11, 'name': 'Argentina'}, 'managers': [{'id': 5677, 'name': 'Lionel Sebastián Scaloni', 'nickname': None, 'dob': '1978-05-16', 'country': {'id': 11, 'name': 'Argentina'}}]}",2,2,available,available,2023-03-30T20:22:22.475740,2023-06-21T17:51:12.511460,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",5,"{'id': 11, 'name': 'Quarter-finals'}","{'id': 1001114, 'name': 'Lusail Stadium', 'country': {'id': 185, 'name': 'Qatar'}}","{'id': 180, 'name': 'Antonio Miguel Mateu Lahoz', 'country': {'id': 214, 'name': 'Spain'}}"
3857287,2022-11-24,15:00:00.000,"{'competition_id': 43, 'country_name': 'International', 'competition_name': 'FIFA World Cup'}","{'season_id': 106, 'season_name': '2022'}","{'home_team_id': 783, 'home_team_name': 'Uruguay', 'home_team_gender': 'male', 'home_team_group': 'H', 'country': {'id': 242, 'name': 'Uruguay'}, 'managers': [{'id': 3633, 'name': 'Diego Martín Alonso López', 'nickname': 'Diego Alonso', 'dob': '1975-04-16', 'country': {'id': 242, 'name': 'Uruguay'}}]}","{'away_team_id': 791, 'away_team_name': 'South Korea', 'away_team_gender': 'male', 'away_team_group': 'H', 'country': {'id': 121, 'name': 'Korea\xa0(South)'}, 'managers': [{'id': 5688, 'name': 'Paulo Jorge Gomes Bento', 'nickname': 'Paulo Bento', 'dob': '1969-06-20', 'country': {'id': 183, 'name': 'Portugal'}}]}",0,0,available,available,2023-04-16T15:36:08.565089,2023-04-27T00:36:59.281195,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",1,"{'id': 10, 'name': 'Group Stage'}","{'id': 94425, 'name': 'Education City Stadium ', 'country': {'id': 185, 'name': 'Qatar'}}","{'id': 76, 'name': 'Clément Turpin', 'country': {'id': 78, 'name': 'France'}}"
3869486,2022-12-10,17:00:00.000,"{'competition_id': 43, 'country_name': 'International', 'competition_name': 'FIFA World Cup'}","{'season_id': 106, 'season_name': '2022'}","{'home_team_id': 788, 'home_team_name': 'Morocco', 'home_team_gender': 'male', 'home_team_group': None, 'country': {'id': 154, 'name': 'Morocco'}, 'managers': [{'id': 1001086, 'name': 'Hoalid Regragui', 'nickname': None, 'dob': '1975-09-23', 'country': {'id': 154, 'name': 'Morocco'}}]}","{'away_team_id': 780, 'away_team_name': 'Portugal', 'away_team_gender': 'male', 'away_team_group': None, 'country': {'id': 183, 'name': 'Portugal'}, 'managers': [{'id': 607, 'name': 'Fernando Manuel Fernandes da Costa Santos', 'nickname': 'Fernando Santos', 'dob': '1954-10-10', 'country': {'id': 183, 'name': 'Portugal'}}]}",1,0,available,available,2023-03-27T04:14:59.777207,2023-04-26T23:03:02.645780,"{'data_version': '1.1.0', 'shot_fidelity_version': '2', 'xy_fidelity_version': '2'}",5,"{'id': 11, 'name': 'Quarter-finals'}","{'id': 1000838, 'name': 'Al Thumama Stadium', 'country': {'id': 185, 'name': 'Qatar'}}","{'id': 1094, 'name': 'Facundo Tello Figueroa', 'country': {'id': 11, 'name': 'Argentina'}}"
