Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Erling Haaland,21,Centre-Forward,Norway,150.0,Man City,Premier League,England,Permanent,60.0
Enzo Fernández,22,Defensive Midfield,Argentina,55.0,Chelsea,Premier League,England,Permanent,121.0
Antony,22,Right Winger,Brazil,35.0,Man Utd,Premier League,England,Permanent,95.0
Wesley Fofana,21,Centre-Back,France,40.0,Chelsea,Premier League,England,Permanent,80.4
Aurélien Tchouaméni,22,Defensive Midfield,France,60.0,Real Madrid,LaLiga,Spain,Permanent,80.0
Casemiro,30,Defensive Midfield,Brazil,40.0,Man Utd,Premier League,England,Permanent,70.65
Mykhaylo Mudryk,22,Left Winger,Ukraine,40.0,Chelsea,Premier League,England,Permanent,70.0
Alexander Isak,22,Centre-Forward,Sweden,30.0,Newcastle,Premier League,England,Permanent,70.0
Matthijs de Ligt,22,Centre-Back,Netherlands,70.0,Bayern Munich,Bundesliga,Germany,Permanent,67.0
Raheem Sterling,27,Left Winger,England,70.0,Chelsea,Premier League,England,Permanent,56.2
Sadio Mané,30,Left Winger,Senegal,70.0,Bayern Munich,Bundesliga,Germany,Permanent,32.0
Romelu Lukaku,29,Centre-Forward,Belgium,70.0,Inter,Serie A,Italy,Loan,0.0
João Cancelo,28,Right-Back,Portugal,70.0,Bayern Munich,Bundesliga,Germany,Loan,0.0
Marc Cucurella,24,Left-Back,Spain,28.0,Chelsea,Premier League,England,Permanent,65.3
Federico Chiesa,24,Left Winger,Italy,65.0,Juventus,Serie A,Italy,Permanent,42.5
Jules Koundé,23,Centre-Back,France,60.0,Barcelona,LaLiga,Spain,Permanent,50.0
Cody Gakpo,23,Left Winger,Netherlands,60.0,Liverpool,Premier League,England,Permanent,42.0
Raphinha,25,Right Winger,Brazil,45.0,Barcelona,LaLiga,Spain,Permanent,58.0
Richarlison,25,Centre-Forward,Brazil,48.0,Tottenham,Premier League,England,Permanent,58.0
Lisandro Martínez,24,Centre-Back,Argentina,32.0,Man Utd,Premier League,England,Permanent,57.37
Darwin Núñez,23,Centre-Forward,Uruguay,55.0,Liverpool,Premier League,England,Permanent,80.0
Fabián Ruiz,26,Central Midfield,Spain,55.0,Paris SG,Ligue 1,France,Permanent,23.0
Gabriel Jesus,25,Centre-Forward,Brazil,50.0,Arsenal,Premier League,England,Permanent,52.2
Cristian Romero,24,Centre-Back,Argentina,48.0,Tottenham,Premier League,England,Permanent,50.0
Kalvin Phillips,26,Defensive Midfield,England,50.0,Man City,Premier League,England,Permanent,49.0
Carlos Soler,25,Central Midfield,Spain,50.0,Paris SG,Ligue 1,France,Permanent,18.0
João Félix,23,Second Striker,Portugal,50.0,Chelsea,Premier League,England,Loan,0.0
Paul Pogba,29,Central Midfield,France,48.0,Juventus,Serie A,Italy,Free,0.0
Anthony Gordon,21,Left Winger,England,40.0,Newcastle,Premier League,England,Permanent,45.6
Robert Lewandowski,33,Centre-Forward,Poland,45.0,Barcelona,LaLiga,Spain,Permanent,45.0
Matheus Nunes,23,Central Midfield,Portugal,35.0,Wolves,Premier League,England,Permanent,45.0
Franck Kessié,25,Central Midfield,Cote d'Ivoire,45.0,Barcelona,LaLiga,Spain,Free,0.0
Enzo Fernández,21,Defensive Midfield,Argentina,15.0,Benfica,Liga Portugal,Portugal,Permanent,44.25
Lucas Paquetá,25,Attacking Midfield,Brazil,35.0,West Ham,Premier League,England,Permanent,42.95
Amine Gouiri,22,Centre-Forward,France,42.0,Rennes,Ligue 1,France,Permanent,28.0
Vitinha,22,Central Midfield,Portugal,30.0,Paris SG,Ligue 1,France,Permanent,41.5
Bremer,25,Centre-Back,Brazil,35.0,Juventus,Serie A,Italy,Permanent,41.0
Nuno Mendes,20,Left-Back,Portugal,40.0,Paris SG,Ligue 1,France,Permanent,38.0
Benoît Badiashile,21,Centre-Back,France,40.0,Chelsea,Premier League,England,Permanent,38.0
Gonçalo Guedes,25,Second Striker,Portugal,40.0,Wolves,Premier League,England,Permanent,32.6
Diego Carlos,29,Centre-Back,Brazil,40.0,Aston Villa,Premier League,England,Permanent,31.0
Antonio Rüdiger,29,Centre-Back,Germany,40.0,Real Madrid,LaLiga,Spain,Free,0.0
Kalidou Koulibaly,31,Centre-Back,Senegal,35.0,Chelsea,Premier League,England,Permanent,38.0
Sven Botman,22,Centre-Back,Netherlands,30.0,Newcastle,Premier League,England,Permanent,37.0
Gianluca Scamacca,23,Centre-Forward,Italy,30.0,West Ham,Premier League,England,Permanent,36.0
Fábio Vieira,22,Attacking Midfield,Portugal,25.0,Arsenal,Premier League,England,Permanent,35.0
Oleksandr Zinchenko,25,Left-Back,Ukraine,25.0,Arsenal,Premier League,England,Permanent,35.0
Amadou Onana,20,Defensive Midfield,Belgium,10.0,Everton,Premier League,England,Permanent,35.0
Nayef Aguerd,26,Centre-Back,Morocco,12.0,West Ham,Premier League,England,Permanent,35.0
Noni Madueke,20,Right Winger,England,15.0,Chelsea,Premier League,England,Permanent,35.0
Sébastien Haller,28,Centre-Forward,Cote d'Ivoire,35.0,Bor. Dortmund,Bundesliga,Germany,Permanent,31.0
Karim Adeyemi,20,Left Winger,Germany,35.0,Bor. Dortmund,Bundesliga,Germany,Permanent,30.0
Yves Bissouma,25,Central Midfield,Mali,35.0,Tottenham,Premier League,England,Permanent,29.2
Timo Werner,26,Centre-Forward,Germany,35.0,RB Leipzig,Bundesliga,Germany,Permanent,20.0
Ryan Gravenberch,20,Central Midfield,Netherlands,35.0,Bayern Munich,Bundesliga,Germany,Permanent,18.5
Jorginho,31,Defensive Midfield,Italy,35.0,Arsenal,Premier League,England,Permanent,11.3
Arnaut Danjuma,25,Left Winger,Netherlands,35.0,Tottenham,Premier League,England,Loan,0.0
Paulo Dybala,28,Second Striker,Argentina,35.0,AS Roma,Serie A,Italy,Free,0.0
Niklas Süle,26,Centre-Back,Germany,35.0,Bor. Dortmund,Bundesliga,Germany,Free,0.0
Andreas Christensen,26,Centre-Back,Denmark,35.0,Barcelona,LaLiga,Spain,Free,0.0
Nico Schlotterbeck,22,Centre-Back,Germany,33.0,Bor. Dortmund,Bundesliga,Germany,Permanent,20.0
Brenden Aaronson,21,Attacking Midfield,United States,25.0,Leeds,Premier League,England,Permanent,32.84
Vitinha,22,Centre-Forward,Portugal,15.0,Marseille,Ligue 1,France,Permanent,32.0
Gonçalo Guedes,26,Second Striker,Portugal,32.0,Benfica,Liga Portugal,Portugal,Loan,0.0
Steven Bergwijn,24,Left Winger,Netherlands,18.0,Ajax,Eredivisie,Netherlands,Permanent,31.25
Charles De Ketelaere,21,Attacking Midfield,Belgium,30.0,AC Milan,Serie A,Italy,Permanent,35.5
Malo Gusto,19,Right-Back,France,15.0,Chelsea,Premier League,England,Permanent,30.0
Leandro Trossard,28,Left Winger,Belgium,30.0,Arsenal,Premier League,England,Permanent,24.0
Manuel Akanji,27,Centre-Back,Switzerland,30.0,Man City,Premier League,England,Permanent,17.5
Frank Anguissa,26,Central Midfield,Cameroon,30.0,SSC Napoli,Serie A,Italy,Permanent,16.0
Nicolò Zaniolo,23,Attacking Midfield,Italy,30.0,Galatasaray,Süper Lig,Turkey,Permanent,15.0
Renan Lodi,24,Left-Back,Brazil,30.0,Nottm Forest,Premier League,England,Loan,0.0
Tanguy Ndombélé,25,Central Midfield,France,30.0,SSC Napoli,Serie A,Italy,Loan,0.0
Angeliño,25,Left-Back,Spain,30.0,TSG Hoffenheim,Bundesliga,Germany,Loan,0.0
Morgan Gibbs-White,22,Attacking Midfield,England,11.0,Nottm Forest,Premier League,England,Permanent,29.5
Leander Dendoncker,27,Defensive Midfield,Belgium,28.0,Aston Villa,Premier League,England,Permanent,15.0
Renato Sanches,24,Central Midfield,Portugal,28.0,Paris SG,Ligue 1,France,Permanent,15.0
Giacomo Raspadori,22,Second Striker,Italy,28.0,SSC Napoli,Serie A,Italy,Loan,0.0
Hugo Ekitiké,20,Centre-Forward,France,28.0,Paris SG,Ligue 1,France,Loan,0.0
Mohamed Camara,22,Defensive Midfield,Mali,27.0,Monaco,Ligue 1,Monaco,Permanent,15.0
Xaver Schlager,24,Central Midfield,Austria,27.0,RB Leipzig,Bundesliga,Germany,Permanent,12.0
Denis Zakaria,25,Defensive Midfield,Switzerland,27.0,Chelsea,Premier League,England,Loan,0.0
David Raum,24,Left-Back,Germany,20.0,RB Leipzig,Bundesliga,Germany,Permanent,26.0
Jakub Kiwior,22,Centre-Back,Poland,8.0,Arsenal,Premier League,England,Permanent,25.0
Kamaldeen Sulemana,20,Left Winger,Ghana,18.0,Southampton,Premier League,England,Permanent,25.0
Luis Sinisterra,23,Left Winger,Colombia,25.0,Leeds,Premier League,England,Permanent,25.0
Merih Demiral,24,Centre-Back,Turkey,25.0,Atalanta BC,Serie A,Italy,Permanent,21.0
Danilo,21,Defensive Midfield,Brazil,25.0,Nottm Forest,Premier League,England,Permanent,20.0
João Palhinha,26,Defensive Midfield,Portugal,25.0,Fulham,Premier League,England,Permanent,20.0
Sasa Kalajdzic,25,Centre-Forward,Austria,25.0,Wolves,Premier League,England,Permanent,18.0
Mattéo Guendouzi,23,Central Midfield,France,25.0,Marseille,Ligue 1,France,Permanent,11.0
Pedro Porro,22,Right-Back,Spain,25.0,Sporting CP,Liga Portugal,Portugal,Permanent,8.77
Raúl de Tomás,27,Centre-Forward,Spain,25.0,Rayo Vallecano,LaLiga,Spain,Permanent,8.0
Pedro Porro,23,Right-Back,Spain,25.0,Tottenham,Premier League,England,Loan,0.0
Lucas Ocampos,28,Right Winger,Argentina,25.0,Ajax,Eredivisie,Netherlands,Loan,0.0
Sergio Reguilón,25,Left-Back,Spain,25.0,Atlético Madrid,LaLiga,Spain,Loan,0.0
Callum Hudson-Odoi,21,Left Winger,England,25.0,B. Leverkusen,Bundesliga,Germany,Loan,0.0
Conor Coady,29,Centre-Back,England,25.0,Everton,Premier League,England,Loan,0.0
Boubacar Kamara,22,Defensive Midfield,France,25.0,Aston Villa,Premier League,England,Free,0.0
Nicolas Pépé,27,Right Winger,Cote d'Ivoire,25.0,OGC Nice,Ligue 1,France,Loan,0.0
Lorenzo Insigne,31,Left Winger,Italy,25.0,Toronto,MLS,Canada,Free,0.0
Nathan Collins,21,Centre-Back,Ireland,10.0,Wolves,Premier League,England,Permanent,24.3
Filip Kostic,29,Left Midfield,Serbia,24.0,Juventus,Serie A,Italy,Permanent,13.0
Joaquín Correa,27,Second Striker,Argentina,23.0,Inter,Serie A,Italy,Permanent,27.3
Calvin Bassey,22,Centre-Back,Nigeria,10.0,Ajax,Eredivisie,Netherlands,Permanent,23.0
Ilya Zabarnyi,20,Centre-Back,Ukraine,15.0,Bournemouth,Premier League,England,Permanent,22.7
Sofiane Diop,22,Left Winger,France,20.0,OGC Nice,Ligue 1,France,Permanent,22.0
Jérémie Boga,25,Left Winger,Cote d'Ivoire,19.0,Atalanta BC,Serie A,Italy,Permanent,22.0
Thilo Kehrer,25,Centre-Back,Germany,22.0,West Ham,Premier League,England,Permanent,12.0
Cengiz Ünder,24,Right Winger,Turkey,22.0,Marseille,Ligue 1,France,Permanent,8.4
Viktor Tsygankov,25,Right Winger,Ukraine,22.0,Girona,LaLiga,Spain,Permanent,5.0
Julian Weigl,26,Defensive Midfield,Germany,22.0,Bor. M'gladbach,Bundesliga,Germany,Loan,0.0
James Tarkowski,29,Centre-Back,England,22.0,Everton,Premier League,England,Free,0.0
Mauro Icardi,29,Centre-Forward,Argentina,22.0,Galatasaray,Süper Lig,Turkey,Loan,0.0
Jan Bednarek,26,Centre-Back,Poland,22.0,Aston Villa,Premier League,England,Loan,0.0
Hamed Junior Traorè,22,Attacking Midfield,Cote d'Ivoire,22.0,Bournemouth,Premier League,England,Loan,0.0
Giovani Lo Celso,26,Central Midfield,Argentina,22.0,Villarreal,LaLiga,Spain,Loan,0.0
Weston McKennie,24,Central Midfield,United States,21.0,Leeds,Premier League,England,Loan,0.0
Maxwel Cornet,25,Left Winger,Cote d'Ivoire,15.0,West Ham,Premier League,England,Permanent,20.7
Taiwo Awoniyi,24,Centre-Forward,Nigeria,20.0,Nottm Forest,Premier League,England,Permanent,20.5
David Carmo,22,Centre-Back,Portugal,15.0,FC Porto,Liga Portugal,Portugal,Permanent,20.28
Nahuel Molina,24,Right-Back,Argentina,20.0,Atlético Madrid,LaLiga,Spain,Permanent,20.0
Mathys Tel,17,Centre-Forward,France,2.0,Bayern Munich,Bundesliga,Germany,Permanent,20.0
Arnaud Kalimuendo,20,Centre-Forward,France,18.0,Rennes,Ligue 1,France,Permanent,20.0
Philippe Coutinho,30,Left Winger,Brazil,20.0,Aston Villa,Premier League,England,Permanent,20.0
Umar Sadiq,25,Centre-Forward,Nigeria,18.0,Real Sociedad,LaLiga,Spain,Permanent,20.0
Neco Williams,21,Right-Back,Wales,8.0,Nottm Forest,Premier League,England,Permanent,20.0
Pervis Estupiñán,24,Left-Back,Ecuador,20.0,Brighton,Premier League,England,Permanent,17.8
David Neres,25,Right Winger,Brazil,20.0,Benfica,Liga Portugal,Portugal,Permanent,15.3
Dodô,23,Right-Back,Brazil,20.0,Fiorentina,Serie A,Italy,Permanent,14.5
Álex Moreno,29,Left-Back,Spain,20.0,Aston Villa,Premier League,England,Permanent,13.5
Adam Hlozek,19,Centre-Forward,Czech Republic,20.0,B. Leverkusen,Bundesliga,Germany,Permanent,13.0
Nordi Mukiele,24,Right-Back,France,20.0,Paris SG,Ligue 1,France,Permanent,12.0
Remo Freuler,30,Central Midfield,Switzerland,20.0,Nottm Forest,Premier League,England,Permanent,9.0
Lucas Torreira,26,Defensive Midfield,Uruguay,20.0,Galatasaray,Süper Lig,Turkey,Permanent,6.0
Pablo Sarabia,30,Right Winger,Spain,20.0,Wolves,Premier League,England,Permanent,5.0
Memphis Depay,28,Centre-Forward,Netherlands,20.0,Atlético Madrid,LaLiga,Spain,Permanent,3.0
Trincão,22,Right Winger,Portugal,20.0,Sporting CP,Liga Portugal,Portugal,Loan,0.0
Antonin Barak,27,Attacking Midfield,Czech Republic,20.0,Fiorentina,Serie A,Italy,Loan,0.0
Andrea Belotti,28,Centre-Forward,Italy,20.0,AS Roma,Serie A,Italy,Free,0.0
Noussair Mazraoui,24,Right-Back,Morocco,20.0,Bayern Munich,Bundesliga,Germany,Free,0.0
Héctor Bellerín,27,Right-Back,Spain,20.0,Barcelona,LaLiga,Spain,Free,0.0
Matheus Cunha,23,Centre-Forward,Brazil,20.0,Wolves,Premier League,England,Loan,0.0
Marcel Sabitzer,28,Central Midfield,Austria,20.0,Man Utd,Premier League,England,Loan,0.0
Christian Eriksen,30,Central Midfield,Denmark,20.0,Man Utd,Premier League,England,Free,0.0
Nico González,20,Central Midfield,Spain,20.0,Valencia,LaLiga,Spain,Loan,0.0
Andrea Pinamonti,23,Centre-Forward,Italy,20.0,Sassuolo,Serie A,Italy,Loan,0.0
Arthur Theate,22,Centre-Back,Belgium,15.0,Rennes,Ligue 1,France,Permanent,19.0
