player,tweet_id,created_at,text,sentiment_score,sentiment_label
Kylian Mbappe,1.98E+18,2025-10-17T14:02:41.000Z,"RT @thedrayst: Even if you fail, fail like Kylian Mbappe.❤️",-0.6705,negative
Kylian Mbappe,1.98E+18,2025-10-17T14:02:32.000Z,"RT @BarcaUniversal: 🚨 Lamine Yamal is in the top 10 highest paid players in 2025, as per Forbes.

1. Cristiano Ronaldo: $280 million (€239…",0.2023,positive
Kylian Mbappe,1.98E+18,2025-10-17T14:02:31.000Z,"RT @ftblindonesia: Indonesian Kylian Mbappe in the making 🔥

📽: @Lamz48
https://t.co/V9kiPpaBua",-0.34,negative
Kylian Mbappe,1.98E+18,2025-10-17T14:02:29.000Z,"RT @thedrayst: Even if you fail, fail like Kylian Mbappe.❤️",-0.6705,negative
Kylian Mbappe,1.98E+18,2025-10-17T14:02:15.000Z,"RT @thedrayst: Even if you fail, fail like Kylian Mbappe.❤️",-0.6705,negative
Kylian Mbappe,1.98E+18,2025-10-17T14:02:09.000Z,"RT @thedrayst: Even if you fail, fail like Kylian Mbappe.❤️",-0.6705,negative
Kylian Mbappe,1.98E+18,2025-10-17T14:02:05.000Z,"RT @TouchlineX: 🚨 Kylian Mbappé received his personalized BMW through the collaboration with Real Madrid.

Mbappé still does not hold a dri…",0,neutral
Kylian Mbappe,1.98E+18,2025-10-17T14:01:58.000Z,"RT @theMadridZone: 🚨 JUST IN: Kylian Mbappé is FULLY READY for the Getafe match. 

He trained normally and did not have any pain. @diarioas…",0.7882,positive
Kylian Mbappe,1.98E+18,2025-10-17T14:01:56.000Z,"RT @MadridUniversal: 🚨 Last season, Kylian Mbappé, Jude Bellingham and Vinícius Junior scored 81 goals and provided 39 assists combined.

H…",0,neutral
Kylian Mbappe,1.98E+18,2025-10-17T14:01:53.000Z,"RT @thedrayst: Even if you fail, fail like Kylian Mbappe.❤️",-0.6705,negative
Kylian Mbappe,1.98E+18,2025-10-17T14:01:52.000Z,"RT @thedrayst: Even if you fail, fail like Kylian Mbappe.❤️",-0.6705,negative
Kylian Mbappe,1.98E+18,2025-10-17T14:01:50.000Z,"RT @thedrayst: Even if you fail, fail like Kylian Mbappe.❤️",-0.6705,negative
Kylian Mbappe,1.98E+18,2025-10-17T14:01:50.000Z,"RT @thedrayst: Even if you fail, fail like Kylian Mbappe.❤️",-0.6705,negative
Kylian Mbappe,1.98E+18,2025-10-17T14:01:46.000Z,"RT @TouchlineX: 🚨 Kylian Mbappé received his personalized BMW through the collaboration with Real Madrid.

Mbappé still does not hold a dri…",0,neutral
Kylian Mbappe,1.98E+18,2025-10-17T14:01:28.000Z,"RT @theMadridZone: 🚨 JUST IN: Kylian Mbappé is FULLY READY for the Getafe match. 

He trained normally and did not have any pain. @diarioas…",0.7882,positive
Kylian Mbappe,1.98E+18,2025-10-17T14:01:17.000Z,"RT @ftblindonesia: Indonesian Kylian Mbappe in the making 🔥

📽: @Lamz48
https://t.co/V9kiPpaBua",-0.34,negative
Kylian Mbappe,1.98E+18,2025-10-17T14:01:12.000Z,"RT @thedrayst: Even if you fail, fail like Kylian Mbappe.❤️",-0.6705,negative
Kylian Mbappe,1.98E+18,2025-10-17T14:01:08.000Z,"RT @thedrayst: Even if you fail, fail like Kylian Mbappe.❤️",-0.6705,negative
Kylian Mbappe,1.98E+18,2025-10-17T14:01:03.000Z,"RT @theMadridZone: 🚨 CONFIRMED: Kylian Mbappé trained normally with the team. 

His injury issues since the Villarreal game had made him un…",-0.4215,negative
Kylian Mbappe,1.98E+18,2025-10-17T14:00:56.000Z,"RT @thedrayst: Even if you fail, fail like Kylian Mbappe.❤️",-0.6705,negative
Erling Haaland,1.98E+18,2025-10-17T14:17:52.000Z,"RT @ManCity: Pep 💬 He [Erling Haaland] feels really good. Performance level - not just in goals, but in many things... It’s impossible to s…",0.2724,positive
Erling Haaland,1.98E+18,2025-10-17T14:17:46.000Z,"RT @NoodleHairCR7: 40 yr old Cristiano Ronaldo winning player of the round ahead of players like Harry Kane, Erling Haaland and Kylian Mbap…",0.7096,positive
Erling Haaland,1.98E+18,2025-10-17T14:17:42.000Z,RT @ESPNFC: Erling Haaland has an answer for everything 😆 ⚽️ https://t.co/8rzQl13eCB,0.3612,positive
Erling Haaland,1.98E+18,2025-10-17T14:17:26.000Z,"RT @ManCity: Pep 💬 He [Erling Haaland] feels really good. Performance level - not just in goals, but in many things... It’s impossible to s…",0.2724,positive
Erling Haaland,1.98E+18,2025-10-17T14:16:57.000Z,"RT @Football__Tweet: Erling Haaland and Kylian Mbappé both have scored many more goals than Cristiano Ronaldo had done at their age.

Do yo…",0,neutral
Erling Haaland,1.98E+18,2025-10-17T14:16:46.000Z,"RT @AJSilverCFC: There's not a single Thing on Earth Erling Haaland is better than Osimhen at.

The Problem is that Nigerians are so used t…",0.0516,positive
Erling Haaland,1.98E+18,2025-10-17T14:16:19.000Z,RT @ESPNFC: Erling Haaland has an answer for everything 😆 ⚽️ https://t.co/8rzQl13eCB,0.3612,positive
Erling Haaland,1.98E+18,2025-10-17T14:15:54.000Z,"@FabrizioRomano Martin Ødegaard led Norway to the world cup, not Erling Haaland.

Don’t let anyone fool you👍 https://t.co/QNk50JJ6Fk",-0.4404,negative
Erling Haaland,1.98E+18,2025-10-17T14:15:52.000Z,"RT @Football__Tweet: Erling Haaland and Kylian Mbappé both have scored many more goals than Cristiano Ronaldo had done at their age.

Do yo…",0,neutral
Erling Haaland,1.98E+18,2025-10-17T14:15:22.000Z,"RT @Football__Tweet: Erling Haaland and Kylian Mbappé both have scored many more goals than Cristiano Ronaldo had done at their age.

Do yo…",0,neutral
Erling Haaland,1.98E+18,2025-10-17T14:15:17.000Z,"RT @1xBet_Eng: Erling Haaland is simply unreal! 

He didn't just play the game - he owned it

There are truly no words to capture his great…",-0.1601,negative
Erling Haaland,1.98E+18,2025-10-17T14:15:09.000Z,RT @ESPNFC: Erling Haaland has an answer for everything 😆 ⚽️ https://t.co/8rzQl13eCB,0.3612,positive
Erling Haaland,1.98E+18,2025-10-17T14:15:02.000Z,"RT @ThaEuropeanLad: 🚨‼️𝗕𝗥𝗘𝗔𝗞𝗜𝗡𝗚: The top 10 highest paid players in 2025, as per Forbes.

1. Cristiano Ronaldo: €239 million
2. Lionel Mess…",0.2023,positive
Erling Haaland,1.98E+18,2025-10-17T14:13:48.000Z,"RT @NoodleHairCR7: 40 yr old Cristiano Ronaldo winning player of the round ahead of players like Harry Kane, Erling Haaland and Kylian Mbap…",0.7096,positive
