player_name,age,nationality,club,overall,potential,pace,shooting,passing,dribbling,physical,market_value
Marcus Pogba,18,Uruguay,Barcelona,65,70,71,65,57,65,72,52357007
Erling Valverde,33,England,Manchester City,73,77,75,62,77,75,83,58805426
Bernardo Camavinga,20,Norway,PSG,82,82,88,89,81,78,86,66088395
Cristiano Rashford,22,Croatia,Barcelona,78,78,84,84,56,78,73,62826170
Eduardo Mount,39,Spain,Atletico Madrid,79,79,68,88,87,93,82,63329709
Ederson Modric,26,Netherlands,Atletico Madrid,71,71,72,64,67,79,74,55392136
Marc Salah,23,USA,Atletico Madrid,84,85,99,78,99,84,91,66116741
Neymar Benzema,36,Croatia,AC Milan,84,84,80,76,79,83,80,66028996
Cristiano Pedri,25,Brazil,Real Madrid,76,76,73,73,87,86,81,60723017
Bruno Rice,24,Brazil,Inter Milan,58,58,62,62,66,64,59,45233930
Alisson Di Maria,32,Brazil,PSG,79,79,77,94,73,82,78,63251379
Andre Messi,32,France,Ajax,70,74,77,72,78,63,73,55956079
Bruno Mount,37,Argentina,Leipzig,68,68,71,62,59,74,67,54473440
Andre Rashford,34,Korea,Juventus,50,59,41,56,56,42,50,41926900
Harry Courtois,21,Brazil,Barcelona,68,78,71,84,68,74,66,56790873
Marco Pavard,31,France,Inter Milan,58,67,61,66,53,48,60,48641799
Federico Mount,30,Netherlands,Atletico Madrid,80,87,99,66,97,70,90,64849711
Marc Foden,29,USA,Real Madrid,92,92,91,99,95,95,90,73568085
Luis Ter Stegen,28,Norway,Sevilla,69,78,67,70,74,67,71,56539617
Sadio Mahrez,33,Brazil,Bayern Munich,60,60,66,59,56,58,54,47790121
Bruno Busquets,20,Italy,Arsenal,66,73,69,66,69,71,66,54606960
Andre Salah,24,Argentina,Manchester City,78,79,68,77,81,77,77,62098507
Phil Mbappe,18,France,Manchester City,64,69,54,65,57,59,60,52305943
Benjamin Junior,22,USA,Arsenal,60,63,56,60,55,53,61,47695698
Declan Rice,37,Korea,AC Milan,79,79,65,74,64,86,82,62550557
Declan Nunez,36,USA,Inter Milan,87,87,78,81,81,83,98,69373942
Ederson Alcantara,20,Brazil,Leipzig,55,62,53,52,51,52,44,46125877
Karim Junior,31,Croatia,Manchester City,65,67,54,53,56,71,63,51710885
Bernardo Ronaldo,19,Morocco,Dortmund,72,74,74,75,69,71,74,57129355
Mohamed De Bruyne,34,USA,Dortmund,95,95,94,98,92,92,99,74579429
Declan Ronaldo,40,Spain,PSG,58,62,56,44,51,53,63,46225193
Thomas Mbappe,25,Japan,Barcelona,69,75,60,72,68,63,67,56025267
Bernardo Courtois,28,Germany,PSG,78,78,71,76,74,74,71,61503834
Federico Alcantara,29,Germany,Atletico Madrid,63,66,63,71,45,64,68,50860867
Bruno Rashford,28,Japan,Sevilla,68,68,54,71,59,68,54,53226363
Paul Dias,28,Portugal,Ajax,64,71,61,70,59,72,65,53030952
Marcus Courtois,35,Spain,Dortmund,63,65,70,65,74,60,73,50141384
Angel Fernandes,34,Spain,Arsenal,73,73,77,70,69,71,69,58456914
Jude Becker,39,Uruguay,Atletico Madrid,68,68,71,66,67,72,64,53127306
Kylian Reus,38,Norway,Barcelona,75,80,74,74,82,68,70,61680305
Pedri Jota,32,Portugal,Ajax,62,62,45,70,65,61,70,49460570
Kevin Mane,19,Portugal,Sevilla,72,75,69,66,59,72,79,58926385
Karim Hernandez,33,Korea,Sevilla,65,73,48,56,76,68,60,53564995
Cristiano Mount,37,Morocco,Liverpool,73,78,74,73,75,80,72,59916638
Mason Gundogan,21,Croatia,Roma,90,96,88,88,86,91,88,72544022
Neymar Rice,29,Japan,Chelsea,69,76,56,68,72,68,67,57422596
Alisson Becker,20,Brazil,Barcelona,78,84,70,78,76,76,87,63721730
Paul Rashford,37,Netherlands,Real Madrid,67,77,70,72,55,63,57,55950762
Kevin Pedri,21,France,Manchester City,95,99,99,98,88,93,89,77375447
Achraf Messi,35,Spain,Juventus,68,82,68,70,68,69,73,58498417
Phil Becker,25,Korea,AC Milan,69,69,63,72,60,66,68,55619009
Paul Benzema,39,Brazil,Atletico Madrid,78,83,71,78,72,75,86,62538344
Harry Nunez,30,France,Arsenal,67,69,43,64,66,78,69,52896728
Robert Fernandes,19,France,Barcelona,81,81,78,75,53,75,79,64077958
Thomas Gundogan,31,Norway,Roma,60,61,63,64,56,55,56,47122890
Thiago Mount,32,Portugal,Sevilla,72,79,83,73,65,74,64,59099085
Riyad Dias,25,Croatia,Roma,80,84,82,77,77,83,69,64961079
Lionel Rice,35,Belgium,Barcelona,67,77,80,66,73,74,72,55058317
Luka Busquets,35,Morocco,Inter Milan,94,96,90,97,86,90,88,74106521
Ederson De Bruyne,38,Netherlands,Leipzig,77,79,74,71,69,72,76,61501958
Pedri Mane,34,Italy,Manchester City,66,79,53,61,63,70,74,55229102
Declan Ronaldo,21,Germany,Leipzig,63,63,70,85,63,52,59,50001430
Federico Haaland,28,Argentina,Roma,71,73,78,82,66,69,64,56979953
Bruno Foden,21,Netherlands,Barcelona,78,78,86,75,71,74,82,62145158
Thiago Jota,29,Argentina,Dortmund,75,79,75,80,71,85,72,60461997
Diogo Rashford,30,Spain,Manchester City,87,98,97,83,83,99,86,72710070
Federico Mendy,18,Korea,AC Milan,81,86,84,85,77,75,81,65991977
Thomas Kane,21,Netherlands,Chelsea,74,82,72,70,61,67,78,61986555
Harry Jota,21,Spain,Atletico Madrid,59,59,58,46,63,60,65,46465990
Alisson Foden,38,England,Roma,58,60,68,58,47,71,56,45855839
Ederson Modric,25,USA,Ajax,62,63,67,60,71,59,62,49765220
Harry Di Maria,18,Uruguay,Dortmund,71,77,71,67,73,70,62,58046637
Thiago Junior,35,Japan,Sevilla,76,76,76,86,87,78,68,59777034
Bernardo Alcantara,25,Brazil,Barcelona,57,67,61,63,78,52,60,48410303
Darwin Hernandez,29,Argentina,Leipzig,66,72,59,57,60,65,70,53759533
Kevin Dias,38,Brazil,Leipzig,61,61,57,62,62,56,49,47669483
Neymar Jota,34,Argentina,Roma,71,77,61,67,68,71,67,57140058
Andre Pogba,38,Netherlands,Bayern Munich,85,85,61,82,90,86,73,67251477
Jan Reus,17,Japan,Manchester City,83,91,82,85,86,72,87,67852372
Ilkay Kane,24,Portugal,Roma,59,65,72,58,46,53,60,47775475
Sergio Messi,21,USA,Juventus,81,86,58,74,87,77,73,66008104
Mason Salah,20,Croatia,Inter Milan,60,65,74,58,54,54,70,48830936
Kylian Junior,29,Argentina,Manchester United,50,53,40,50,54,58,42,40459653
Achraf Junior,18,England,Sevilla,85,85,84,87,86,98,84,66818453
Bernardo Junior,39,Portugal,Arsenal,76,80,64,79,68,86,72,61793987
Neymar Modric,26,Norway,Leipzig,65,67,50,64,69,63,58,52350255
Karim Hernandez,19,Norway,Real Madrid,76,77,72,68,80,81,76,61063023
Manuel Busquets,33,France,Arsenal,83,96,73,87,77,74,80,69413996
Angel Felix,21,Belgium,Inter Milan,69,73,74,69,63,65,76,55822172
Federico Reus,34,Portugal,Inter Milan,56,60,41,53,52,56,60,46195140
Bruno Fernandes,36,Spain,Roma,66,66,65,54,54,61,62,52763242
Kylian Gundogan,19,Norway,Manchester United,63,63,63,61,67,63,56,50714016
Alisson Mbappe,27,Japan,Inter Milan,67,70,68,66,84,72,72,53397628
Darwin Benzema,18,England,Bayern Munich,75,75,83,75,83,72,66,59637444
Rodrygo De Bruyne,34,Croatia,Ajax,81,84,74,84,80,74,83,64638190
Ederson Pedri,34,USA,Manchester City,81,81,64,82,79,77,79,63305118
Luka Alcantara,37,Netherlands,Bayern Munich,65,66,68,58,60,67,70,51612671
Gavi Camavinga,31,England,PSG,78,79,90,69,86,69,92,62376005
Sergio Ter Stegen,20,Norway,Liverpool,76,82,87,60,76,86,71,63103284
Kylian Gavi,33,Italy,Dortmund,85,89,94,89,85,68,84,68141445
Achraf Mount,36,Korea,Manchester United,65,70,67,69,64,56,64,52455085
Declan Camavinga,39,Belgium,Real Madrid,95,97,82,90,99,97,94,75828282
Erling Suarez,27,Spain,Liverpool,60,65,49,55,58,70,55,49080537
Diogo Di Maria,37,Brazil,AC Milan,92,94,96,92,99,99,86,72515150
Mason Busquets,37,Germany,AC Milan,68,70,76,71,65,59,70,53815328
Diogo Pogba,27,Netherlands,Ajax,74,77,75,80,79,70,90,59043288
Declan Ter Stegen,37,Italy,Liverpool,83,99,93,80,88,73,86,71417450
