player_name,age,nationality,club,league,position,overall,potential,pace,shooting,passing,dribbling,physical,matches,goals,assists,minutes,injury_count,market_value
Reece Junior,21,France,Dortmund,Serie A,LB,68,68,73,64,79,56,70,22,12,8,1386,5,68180000
Gavi Reus,21,USA,Benfica,La Liga,CDM,67,72,75,80,70,59,49,40,13,7,3280,4,69230000
Robert Rice,39,Netherlands,Al Nassr,Eredivisie,LM,63,72,65,49,67,45,58,37,8,9,2701,5,66220000
Ederson Reus,22,England,Al Hilal,La Liga,CF,95,95,88,99,99,99,99,26,8,8,1950,3,94960000
Ilkay Lewandowski,34,Croatia,Porto,Premier League,GK,73,78,74,74,73,82,49,41,15,12,2993,4,75070000
Luis Jota,25,Uruguay,Real Madrid,Eredivisie,CF,84,90,99,83,80,99,87,18,3,2,1080,1,86050000
Jan Messi,17,Brazil,Real Madrid,La Liga,GK,72,72,64,80,65,84,72,18,5,3,1098,4,71910000
Ilkay Salah,32,England,Liverpool,Primeira Liga,LM,84,89,87,92,80,56,80,36,14,8,2520,0,86060000
Marco Felix,38,Spain,Real Madrid,La Liga,RB,67,68,68,58,51,66,58,10,1,0,550,3,66690000
Angel Havertz,28,Chile,Inter Milan,Serie A,RW,62,62,65,70,64,61,72,43,17,10,3311,3,62290000
Josko Hernandez,34,Brazil,Al Hilal,Eredivisie,RW,80,80,81,76,70,77,71,16,8,4,1088,0,79720000
Thomas Olmo,36,Japan,PSG,La Liga,LW,76,76,67,68,68,80,79,47,16,13,2397,2,76080000
Kylian Reus,20,Uruguay,Barcelona,Saudi League,RB,73,75,83,70,71,83,58,34,10,8,2176,4,73900000
Marcus Ronaldo,20,France,Arsenal,Primeira Liga,CDM,84,84,85,81,67,86,92,34,11,8,2244,5,84150000
Kai Rashford,39,France,Inter Milan,Eredivisie,CM,67,72,68,67,70,54,56,17,8,3,935,0,68620000
Achraf Messi,23,Portugal,Inter Milan,Primeira Liga,LW,68,77,70,75,55,66,71,19,9,6,1596,4,71590000
Benjamin Olmo,26,Croatia,Benfica,Eredivisie,LB,69,69,80,73,76,62,84,22,4,2,1430,4,68680000
Darwin Felix,30,England,Juventus,Eredivisie,CB,76,78,74,86,51,85,79,39,11,11,1950,1,76750000
Josko Mendy,23,Italy,Manchester United,Primeira Liga,ST,82,82,91,81,87,82,92,22,4,6,1826,2,81740000
Diogo Jota,26,USA,Liverpool,Primeira Liga,CB,64,66,53,80,52,63,59,41,12,10,2460,1,64880000
Thomas Suarez,18,USA,Ajax,Eredivisie,RM,76,82,71,69,68,70,80,26,5,4,1326,0,78290000
Angel Ter Stegen,35,France,Benfica,Ligue 1,CDM,76,76,92,65,85,75,90,47,13,11,3196,2,75950000
Thiago Haaland,40,Portugal,Barcelona,Ligue 1,CF,71,76,68,70,65,70,54,22,6,5,1518,0,72500000
Bruno Valverde,27,France,Bayern Munich,Premier League,CAM,87,90,86,77,86,89,83,13,8,3,962,3,88060000
Cristiano Mount,26,Netherlands,Sevilla,La Liga,LB,63,71,75,60,47,55,44,23,6,4,1817,0,65980000
Benjamin Mahrez,40,Uruguay,Al Hilal,Eredivisie,RM,58,62,58,57,60,35,70,18,6,2,900,5,59100000
Ferran Fernandes,40,Uruguay,Manchester United,Eredivisie,CAM,62,69,60,55,65,65,64,36,14,8,2088,3,64700000
Erling Haaland,25,Norway,Benfica,Premier League,RW,64,74,74,54,64,67,64,10,3,0,630,3,67650000
Riyad Pavard,18,Norway,Sevilla,Ligue 1,CF,60,66,49,47,53,50,47,12,1,0,1020,2,62090000
Neymar Foden,40,Colombia,Atletico Madrid,Premier League,RM,69,69,62,70,63,72,62,19,8,9,1520,3,68600000
Reece Silva,36,Portugal,Al Nassr,Ligue 1,CB,66,79,51,51,48,59,75,46,16,9,2668,4,71280000
Luis Nunez,29,Colombia,Sevilla,Primeira Liga,CM,84,87,71,88,69,70,62,16,5,2,1360,1,84870000
Paul Alcantara,28,Croatia,Juventus,La Liga,LB,78,78,81,85,71,77,69,37,12,12,2442,0,78040000
Sadio Mendy,22,Chile,PSG,Ligue 1,CF,67,73,85,68,63,60,41,40,12,9,2560,1,69560000
Ruben Ter Stegen,22,Morocco,PSG,Premier League,LM,81,83,85,86,72,76,82,43,15,6,2967,4,82110000
Lionel Haaland,37,Netherlands,Porto,Saudi League,RM,87,87,94,75,87,71,98,23,8,6,1587,5,86660000
Ilkay Fernandes,26,Belgium,AC Milan,Bundesliga,CDM,57,57,64,55,57,61,65,39,13,10,2145,1,57130000
Benjamin Haaland,27,Norway,Inter Milan,Bundesliga,CAM,60,60,72,66,60,48,60,47,19,11,2538,1,60410000
Sergio Di Maria,36,Brazil,Chelsea,Primeira Liga,LW,88,89,73,83,89,82,79,27,13,5,1566,0,88330000
Josko Gundogan,23,Brazil,Ajax,Primeira Liga,CAM,50,50,54,42,57,47,58,20,9,2,1660,2,49990000
Thiago Messi,20,Argentina,Ajax,Ligue 1,RM,61,61,58,61,72,60,75,49,12,9,2646,2,61200000
Joao Nkunku,31,Italy,Al Nassr,La Liga,CB,79,79,90,79,65,84,54,12,5,4,1080,0,78630000
Joao Mbappe,18,Morocco,Manchester City,Saudi League,CF,67,77,72,49,57,75,86,22,6,7,1298,5,70940000
Josko Jota,19,USA,Dortmund,Ligue 1,CDM,70,70,80,74,77,56,69,41,14,8,2952,5,70320000
Thomas Nunez,28,England,Liverpool,Primeira Liga,LB,62,71,71,64,64,63,64,21,7,4,1848,3,65390000
Reece Modric,23,France,Manchester United,Bundesliga,CDM,79,93,69,81,85,63,91,40,14,11,3480,2,84840000
Marc Messi,33,Germany,Manchester United,Ligue 1,GK,63,63,72,44,55,48,59,19,8,3,1387,0,62740000
Diogo Busquets,27,Korea,Benfica,Eredivisie,LM,67,70,49,51,76,76,56,22,7,6,1760,5,68010000
