nation,pos,squad,comp,age,born,mp,starts,min,90s,goals,shots,sot,sotpct,g/sh,g/sot,shodist,shofk,shopk,pkatt,pastotcmp,pastotatt,pastotcmppct,pastotdist,pastotprgdist,passhocmp,passhoatt,passhocmppct,pasmedcmp,pasmedatt,pasmedcmppct,pasloncmp,paslonatt,pasloncmppct,assists,pasass,pas3rd,ppa,crspa,pasprog,paslive,pasdead,pasfk,tb,sw,pascrs,ti,ck,ckin,ckout,ckstr,pasoff,pasblocks,sca,scapasslive,scapassdead,scadrib,scash,scafld,scadef,gca,gcapasslive,gcapassdead,gcadrib,gcash,gcafld,gcadef,tkl,tklwon,tkldef3rd,tklmid3rd,tklatt3rd,tkldri,tkldriatt,tkldripct,tkldripast,blocks,blksh,blkpass,int,tkl_plus_int,clr,err,touches,toudefpen,toudef3rd,toumid3rd,touatt3rd,touattpen,toulive,toatt,tosuc,tosucpct,totkl,totklpct,carries,cartotdist,carprgdist,carprog,car3rd,cpa,carmis,cardis,rec,recprog,crdy,crdr,2crdy,fls,fld,off,pkwon,pkcon,og,recov,aerwon,aerlost,aerwonpct,market_value_euros,negative,neutral,positive,avgsentimentscore,player_id,total_injuries,total_days_injured,avg_days_injured,max_days_injured,recent_injury_days,goals_per90,assists_per90,shots_on_target_rate
usa,mffw,leeds united,premier league,22,2000,20,19,1596,17.7,1,1.53,0.28,18.5,0.04,0.2,19.0,0.11,0.0,0.0,23.2,31.0,74.9,293.0,85.7,13.3,16.2,81.9,5.93,7.74,76.6,0.9,2.37,38.1,0.11,1.75,1.75,0.45,0.11,3.22,28.1,2.88,0.96,0.17,0.0,2.54,0.23,1.47,0.68,0.62,0.06,0.0,0.85,3.62,2.37,0.56,0.23,0.11,0.28,0.06,0.28,0.17,0.0,0.0,0.06,0.0,0.06,1.64,0.51,0.45,0.9,0.28,0.51,1.47,34.6,0.96,1.69,0.11,1.58,0.06,1.69,0.28,0.06,44.0,0.4,4.35,19.0,21.5,2.49,44.0,3.73,1.19,31.8,1.75,47.0,26.7,136.1,56.6,1.53,1.07,0.4,2.6,3.11,30.2,5.65,0.11,0.0,0.0,0.62,2.26,0.17,0.0,0.0,0.0,4.86,0.34,1.19,22.2,15000000.0,0.2051282051282051,0.1666666666666666,0.6282051282051282,0.3244705128205128,0.0,2,40,20.0,36,4,0.05649717514124294,0.0062146892655367235,0.18300653594771243
mar,df,reims,ligue 1,35,1987,22,22,1980,22.0,0,0.86,0.05,5.3,0.0,0.0,13.5,0.0,0.0,0.0,38.5,47.2,81.5,751.5,318.5,10.9,12.9,84.5,23.2,25.7,90.1,3.77,7.0,53.9,0.05,0.27,2.91,0.09,0.0,4.5,43.3,3.73,3.32,0.0,0.55,0.18,0.09,0.0,0.0,0.0,0.0,0.23,0.59,1.14,0.86,0.0,0.0,0.18,0.0,0.09,0.18,0.14,0.0,0.0,0.05,0.0,0.0,2.5,1.59,1.45,1.0,0.05,1.32,1.68,78.4,0.36,2.23,0.77,1.45,2.0,4.5,2.91,0.05,59.2,6.23,27.5,29.5,2.73,1.09,59.2,0.68,0.32,46.7,0.36,53.3,40.0,234.2,125.0,0.55,0.23,0.09,0.73,0.68,34.5,0.23,0.09,0.0,0.0,1.32,0.5,0.05,0.0,0.0,0.0,6.64,2.18,1.23,64.0,400000.0,0.6792452830188679,0.1132075471698113,0.2075471698113207,-0.4578547169811321,0.0,2,24,12.0,15,15,0.0,0.002272727272727273,0.058139534883720936
fra,mffw,angers,ligue 1,23,1999,14,8,770,8.6,0,1.05,0.35,33.3,0.0,0.0,19.2,0.0,0.0,0.0,40.0,49.5,80.8,676.0,188.1,18.5,22.0,84.1,15.5,18.7,82.6,4.42,5.93,74.5,0.0,1.51,3.95,1.74,0.35,6.4,48.1,1.16,0.35,0.12,0.23,1.05,0.81,0.0,0.0,0.0,0.0,0.23,1.16,2.67,2.44,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,1.4,1.28,1.4,0.23,1.63,2.67,60.9,1.05,1.51,0.12,1.4,0.93,3.84,0.93,0.0,62.6,0.93,11.4,36.0,17.4,1.16,62.6,3.84,2.09,54.5,1.51,39.4,48.5,298.5,151.0,2.56,2.56,0.47,2.09,1.05,43.4,5.93,0.12,0.0,0.0,1.74,1.28,0.0,0.0,0.0,0.0,8.14,0.93,1.05,47.1,7000000.0,0.9183673469387756,0.0816326530612244,0.0,-0.810269387755102,0.0,6,84,14.0,24,19,0.0,0.0,0.3333333333333333
gha,mf,lens,ligue 1,22,2000,20,20,1799,20.0,1,0.6,0.15,25.0,0.08,0.33,20.3,0.0,0.0,0.0,59.5,64.9,91.6,946.3,226.9,29.6,31.8,93.2,24.7,26.2,94.3,3.35,4.3,77.9,0.0,0.5,6.0,0.55,0.1,5.6,63.1,1.4,1.3,0.05,0.2,0.35,0.1,0.0,0.0,0.0,0.0,0.35,0.4,1.6,1.35,0.0,0.1,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.8,0.55,0.85,0.1,0.85,1.3,65.4,0.45,1.3,0.35,0.95,1.1,2.6,0.8,0.0,73.3,2.1,12.0,49.6,12.2,0.7,73.3,1.25,0.7,56.0,0.4,32.0,61.0,316.9,117.5,1.25,1.95,0.15,1.35,1.3,56.5,1.7,0.15,0.0,0.0,2.45,1.35,0.0,0.0,0.0,0.05,6.6,0.5,0.5,50.0,5000000.0,0.6206896551724138,0.1206896551724138,0.2586206896551724,-0.3056741379310345,0.0,4,247,61.75,228,228,0.05,0.0,0.25
fra,mf,lorient,ligue 1,30,1993,15,15,1165,12.9,0,0.31,0.0,0.0,0.0,0.0,23.9,0.0,0.0,0.0,37.9,43.4,87.3,613.6,224.7,17.9,19.4,92.4,15.7,17.8,88.6,2.64,3.95,66.7,0.08,0.62,3.88,0.39,0.0,5.04,42.6,0.78,0.78,0.39,0.16,0.23,0.0,0.0,0.0,0.0,0.0,0.08,0.31,1.24,1.01,0.08,0.0,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,3.8,2.02,2.64,1.16,0.0,1.32,3.26,40.5,1.94,1.4,0.23,1.16,1.16,4.96,1.55,0.0,54.7,3.26,19.2,31.4,4.88,0.23,54.7,0.93,0.54,58.3,0.31,33.3,41.0,174.3,72.7,0.47,0.93,0.0,1.32,0.78,36.4,0.47,0.16,0.0,0.0,0.93,1.01,0.0,0.0,0.0,0.0,6.51,0.31,0.39,44.4,2500000.0,0.6862745098039216,0.0784313725490196,0.2352941176470588,-0.3104372549019608,0.0,6,119,19.83333333333333,52,15,0.0,0.006201550387596899,0.0
den,mf,hellas verona,serie a,26,1996,1,0,11,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,66.7,310.0,90.0,10.0,10.0,100.0,10.0,10.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,50.0,0.0,20.0,20.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,1000000.0,0.7222222222222222,0.1296296296296296,0.1481481481481481,-0.4561796296296296,0.0,9,253,28.11111111111111,94,3,0.0,0.0,0.0
fra,fwmf,auxerre,ligue 1,19,2003,5,2,185,2.1,1,4.29,1.43,33.3,0.11,0.33,20.4,0.0,0.0,0.0,7.14,10.0,71.4,139.5,40.0,1.43,2.38,60.0,4.76,5.24,90.9,0.48,0.95,50.0,0.0,0.0,0.48,1.43,0.48,1.9,9.05,0.95,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.48,0.0,0.95,0.48,0.0,0.95,0.0,0.95,0.48,0.0,0.48,0.48,1.9,0.48,0.0,25.7,0.48,1.43,11.4,12.9,6.67,25.7,1.43,0.48,33.3,0.95,66.7,17.1,97.1,10.5,1.43,0.0,0.95,7.62,3.33,19.0,6.67,0.0,0.0,0.0,0.95,1.43,0.48,0.0,0.0,0.0,0.48,1.43,1.43,50.0,22000000.0,0.4705882352941176,0.2549019607843137,0.2745098039215686,-0.201021568627451,0.0,0,0,0.0,0,0,0.47619047619047616,0.0,0.3333333333333333
fra,fwmf,rennes,ligue 1,19,2003,11,0,107,1.2,1,5.0,1.67,33.3,0.17,0.5,12.2,0.0,0.0,0.0,5.83,12.5,46.7,107.5,25.0,2.5,5.0,50.0,2.5,3.33,75.0,0.83,0.83,100.0,0.0,1.67,0.83,0.83,0.0,1.67,12.5,0.0,0.0,0.83,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.83,5.83,1.67,0.0,0.0,2.5,0.83,0.83,1.67,0.0,0.0,0.0,0.0,0.83,0.83,0.83,0.83,0.0,0.0,0.83,0.83,0.83,100.0,0.0,0.83,0.0,0.83,1.67,2.5,0.83,0.0,30.8,0.83,0.83,12.5,18.3,12.5,30.8,0.0,0.0,0.0,0.0,0.0,22.5,145.0,87.5,3.33,0.83,1.67,8.33,0.83,22.5,9.17,0.0,0.0,0.0,2.5,4.17,0.83,0.83,0.0,0.0,1.67,0.83,3.33,20.0,22000000.0,0.4705882352941176,0.2549019607843137,0.2745098039215686,-0.201021568627451,0.0,0,0,0.0,0,0,0.8333333333333334,0.0,0.33399999999999996
bra,df,betis,la liga,22,2000,4,3,272,3.0,0,0.67,0.33,50.0,0.0,0.0,7.8,0.0,0.0,0.0,39.0,54.3,71.8,590.0,265.3,20.7,23.3,88.6,13.3,20.0,66.7,2.33,5.67,41.2,0.0,0.0,3.0,0.33,0.0,3.33,42.3,11.7,0.33,0.0,0.67,1.33,11.3,0.0,0.0,0.0,0.0,0.33,2.33,1.0,0.67,0.0,0.33,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,2.67,2.33,2.33,0.33,0.0,2.0,2.33,85.7,0.33,1.33,0.67,0.67,2.0,4.67,2.67,0.0,65.7,4.67,20.7,30.7,15.0,1.67,65.7,1.33,0.33,25.0,1.0,75.0,30.3,112.7,67.3,0.67,0.67,0.33,1.0,0.67,35.0,3.67,0.0,0.0,0.0,0.67,0.67,0.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3,7000000.0,0.509090909090909,0.1454545454545454,0.3454545454545454,-0.15188,0.0,3,70,23.33333333333333,31,31,0.0,0.0,0.4925373134328358
mar,fwmf,toulouse,ligue 1,22,2000,22,17,1507,16.7,5,2.75,1.02,37.0,0.11,0.29,18.1,0.0,0.0,0.0,17.6,25.3,69.7,219.5,49.6,11.7,14.9,79.0,4.43,6.17,71.8,0.24,0.84,28.6,0.24,0.54,0.78,0.42,0.06,1.8,24.3,0.84,0.06,0.06,0.0,0.96,0.78,0.0,0.0,0.0,0.0,0.18,1.56,2.34,1.32,0.0,0.18,0.36,0.42,0.06,0.24,0.12,0.0,0.06,0.0,0.06,0.0,1.14,0.72,0.54,0.3,0.3,0.3,1.32,22.7,1.02,0.54,0.06,0.48,0.84,1.98,0.66,0.0,38.0,0.96,5.45,14.6,18.7,4.97,38.0,3.17,1.02,32.1,1.86,58.5,28.6,177.7,74.7,3.05,1.08,1.14,2.57,0.96,27.1,9.52,0.18,0.0,0.0,1.56,1.8,0.72,0.0,0.0,0.0,4.43,0.42,1.32,24.1,12000000.0,0.4838709677419355,0.3548387096774194,0.1612903225806451,-0.2548854838709677,0.0,6,266,44.333333333333336,176,9,0.29940119760479045,0.01437125748502994,0.3709090909090909
